#,Peptide,Score,PredictionResults,Hemolysis Conc (ug/ml),Hemolysis 
1,Sequence_1,0.43421704,No,,
2,Sequence_2,0.9536884,Yes,,
3,Sequence_3,0.907293,Yes,,
4,Sequence_4,0.9171227,Yes,,
5,Sequence_5,0.7415355,Yes,,
6,Sequence_6,0.49242213,No,,
7,Sequence_7,0.45805186,No,,
8,Sequence_8,0.951921,Yes,,
9,Sequence_9,0.71457386,Yes,,
10,Sequence_10,0.8828019,Yes,,
11,Sequence_11,0.5653028,Yes,,
12,Sequence_12,0.9694979,Yes,,
13,Sequence_13,0.93589795,Yes,,
14,Sequence_14,0.9884774,Yes,,
15,Sequence_15,0.9350228,Yes,,
16,Sequence_16,0.7197076,Yes,,
17,Sequence_17,0.9397144,Yes,,
18,Sequence_18,0.9090298,Yes,,
19,Sequence_19,0.9986997,Yes,,
20,Sequence_20,0.7556033,Yes,,
21,Sequence_21,0.23190698,No,,
22,Sequence_22,0.44361416,No,,
23,Sequence_23,0.44054654,No,,
24,Sequence_24,0.90633255,Yes,,
25,Sequence_25,0.962234,Yes,,
26,Sequence_26,0.9522458,Yes,,
27,Sequence_27,0.97554976,Yes,,
28,Sequence_28,0.4099182,No,,
29,Sequence_29,0.48222837,No,,
30,Sequence_30,0.9524962,Yes,,
31,Sequence_31,0.84651744,Yes,,
32,Sequence_32,0.057385296,No,,
33,Sequence_33,0.94430566,Yes,,
34,Sequence_34,0.74904215,Yes,,
35,Sequence_35,0.535782,Yes,,
36,Sequence_36,0.8714051,Yes,,
37,Sequence_37,0.76076996,Yes,,
38,Sequence_38,0.43145657,No,,
39,Sequence_39,0.8915261,Yes,,
40,Sequence_40,0.8897004,Yes,,
41,Sequence_41,0.7321162,Yes,,
42,Sequence_42,0.36103553,No,,
43,Sequence_43,0.9322511,Yes,,
44,Sequence_44,0.8099255,Yes,,
45,Sequence_45,0.909482,Yes,,
46,Sequence_46,0.93356514,Yes,,
47,Sequence_47,0.31516778,No,,
48,Sequence_48,0.97948664,Yes,,
49,Sequence_49,0.9052589,Yes,,
50,Sequence_50,0.78127974,Yes,,
