#,Peptide,Score,PredictionResults,Hemolysis Conc (ug/ml),Hemolysis 
1,Sequence_1,0.96986866,Yes,,
2,Sequence_2,0.73521054,Yes,,
3,Sequence_3,0.87939435,Yes,,
4,Sequence_4,0.97289026,Yes,,
5,Sequence_5,0.9924699,Yes,,
6,Sequence_6,0.99935544,Yes,,
7,Sequence_7,0.9131174,Yes,,
8,Sequence_8,0.5867371,Yes,,
9,Sequence_9,0.989764,Yes,,
10,Sequence_10,0.9931091,Yes,,
11,Sequence_11,0.99062145,Yes,,
12,Sequence_12,0.79586136,Yes,,
13,Sequence_13,0.8429078,Yes,,
14,Sequence_14,0.9712906,Yes,,
15,Sequence_15,0.92833257,Yes,,
16,Sequence_16,0.9986161,Yes,,
17,Sequence_17,0.9830844,Yes,,
18,Sequence_18,0.89725673,Yes,,
19,Sequence_19,0.88072574,Yes,,
20,Sequence_20,0.9743037,Yes,,
21,Sequence_21,0.77531755,Yes,,
22,Sequence_22,0.8793302,Yes,,
23,Sequence_23,0.98953116,Yes,,
24,Sequence_24,0.97326046,Yes,,
25,Sequence_25,0.9819993,Yes,,
26,Sequence_26,0.9367912,Yes,,
27,Sequence_27,0.82578206,Yes,,
28,Sequence_28,0.83616924,Yes,,
29,Sequence_29,0.5844446,Yes,,
30,Sequence_30,0.9223957,Yes,,
31,Sequence_31,0.93512046,Yes,,
32,Sequence_32,0.30013835,No,,
33,Sequence_33,0.97680616,Yes,,
34,Sequence_34,0.49827906,No,,
35,Sequence_35,0.6528508,Yes,,
36,Sequence_36,0.33850008,No,,
37,Sequence_37,0.9846207,Yes,,
38,Sequence_38,0.9883551,Yes,,
39,Sequence_39,0.98939985,Yes,,
40,Sequence_40,0.826168,Yes,,
41,Sequence_41,0.9922017,Yes,,
42,Sequence_42,0.9195998,Yes,,
43,Sequence_43,0.9870911,Yes,,
44,Sequence_44,0.60470176,Yes,,
45,Sequence_45,0.974983,Yes,,
46,Sequence_46,0.9044156,Yes,,
47,Sequence_47,0.9319895,Yes,,
48,Sequence_48,0.9718639,Yes,,
49,Sequence_49,0.731832,Yes,,
50,Sequence_50,0.83398676,Yes,,
