ID,Normalized Hydrophobic Moment,Normalized Hydrophobicity,Net Charge,Isoelectric Point,Penetration Depth,Tilt Angle,Disordered Conformation Propensity,Linear Moment,Propensity to in vitro Aggregation,Angle Subtended by the Hydrophobic Residues,Amphiphilicity Index,Propensity to PPII coil
Sequence_1,0.84,0.46,5.0,12.42,30,142,-0.5,0.24,0.0,100.0,1.15,1.05
Sequence_2,0.52,0.22,5.0,11.88,24,15,-0.34,0.24,0.0,70.0,1.32,1.09
Sequence_3,0.34,0.19,5.0,12.42,30,138,-0.34,0.27,0.0,30.0,0.98,1.11
Sequence_4,0.38,0.19,5.0,11.88,22,22,-0.33,0.28,0.0,70.0,1.41,1.07
Sequence_5,0.17,0.03,5.0,11.35,25,27,-0.35,0.25,0.0,30.0,1.65,1.1
Sequence_6,0.23,0.41,5.0,11.88,24,9,-0.41,0.29,0.0,40.0,1.33,1.09
Sequence_7,0.62,0.36,5.0,11.88,28,20,-0.57,0.33,0.0,50.0,1.33,1.17
Sequence_8,0.52,0.21,5.0,11.88,23,23,-0.38,0.24,0.0,70.0,1.32,1.01
Sequence_9,0.93,0.55,5.0,11.52,30,35,-0.51,0.24,0.0,100.0,1.6,1.06
Sequence_10,0.66,0.17,5.0,11.88,30,48,-0.59,0.32,0.0,80.0,1.41,1.15
Sequence_11,0.47,0.43,5.0,11.88,30,47,-0.67,0.31,0.0,50.0,1.4,1.18
Sequence_12,0.47,0.21,5.0,11.88,22,40,-0.41,0.21,0.0,60.0,1.41,1.06
Sequence_13,0.23,0.1,5.0,12.7,19,98,-0.44,0.37,0.0,60.0,0.9,1.06
Sequence_14,0.64,0.13,5.0,11.88,24,14,-0.29,0.26,0.0,100.0,1.4,1.05
Sequence_15,0.35,0.22,5.0,11.88,28,22,-0.36,0.28,0.0,30.0,1.41,1.08
Sequence_16,0.57,0.56,5.0,11.88,30,49,-0.71,0.32,0.0,50.0,1.51,1.18
Sequence_17,0.78,0.36,5.0,12.42,30,23,-0.36,0.36,0.0,70.0,1.05,1.07
Sequence_18,0.43,0.71,5.0,11.88,26,15,-0.75,0.39,0.0,30.0,1.62,1.09
Sequence_19,0.7,0.53,6.0,11.91,30,98,-0.56,0.2,0.0,70.0,1.64,0.94
Sequence_20,0.2,0.64,6.0,12.59,30,117,-0.68,0.24,0.0,30.0,1.24,1.15
Sequence_21,0.59,0.48,5.0,11.88,26,19,-0.5,0.31,0.0,50.0,1.4,1.02
Sequence_22,0.33,0.29,5.0,12.7,30,115,-0.52,0.41,0.0,60.0,0.92,1.05
Sequence_23,0.71,0.25,5.0,11.88,19,62,-0.58,0.31,0.0,80.0,1.91,1.07
Sequence_24,0.24,0.61,6.0,11.91,30,116,-0.49,0.3,0.0,30.0,1.46,1.1
Sequence_25,0.78,0.37,5.0,12.42,30,24,-0.33,0.24,0.0,100.0,1.06,1.05
Sequence_26,0.58,0.03,5.0,11.88,20,107,-0.42,0.22,0.0,70.0,1.23,1.16
Sequence_27,0.54,0.35,5.0,11.88,30,101,-0.64,0.34,0.0,70.0,1.52,1.12
Sequence_28,0.52,0.18,5.0,11.35,27,21,-0.5,0.25,0.0,40.0,1.54,1.16
Sequence_29,0.58,0.05,5.0,12.58,29,20,-0.35,0.34,0.0,60.0,0.92,1.04
Sequence_30,0.49,0.27,5.0,11.88,25,14,-0.41,0.23,0.0,70.0,1.41,1.02
Sequence_31,0.45,0.42,5.0,11.89,30,40,-0.56,0.33,0.0,50.0,1.41,1.16
Sequence_32,0.48,0.07,5.0,12.58,29,17,-0.4,0.36,0.0,60.0,1.0,0.97
Sequence_33,0.83,0.51,5.0,12.42,30,43,-0.41,0.36,0.0,70.0,1.14,1.01
Sequence_34,0.55,0.23,5.0,11.35,30,47,-0.63,0.25,0.0,50.0,1.74,1.17
Sequence_35,0.53,0.31,5.0,11.88,25,16,-0.62,0.38,0.0,50.0,1.62,1.04
Sequence_36,0.47,0.53,6.0,12.13,28,16,-0.57,0.3,0.0,30.0,1.59,1.03
Sequence_37,0.78,0.19,5.0,12.28,16,86,-0.65,0.38,0.0,60.0,1.43,1.09
Sequence_38,0.6,0.37,5.0,11.52,30,25,-0.4,0.24,0.0,100.0,1.6,1.04
Sequence_39,0.73,0.48,5.0,12.42,30,23,-0.41,0.34,0.0,70.0,1.05,1.08
Sequence_40,0.37,0.03,5.0,11.88,22,12,-0.2,0.23,0.0,60.0,1.16,1.1
Sequence_41,0.75,0.67,5.0,12.42,30,92,-0.65,0.44,0.0,70.0,1.23,1.18
Sequence_42,0.86,0.46,5.0,11.88,19,86,-0.59,0.22,0.0,100.0,1.41,1.05
Sequence_43,0.67,0.41,6.0,11.91,30,119,-0.62,0.37,0.0,100.0,1.45,1.14
Sequence_44,0.35,0.05,5.0,12.12,30,148,-0.6,0.35,0.0,60.0,1.25,1.23
Sequence_45,0.24,0.5,5.0,11.52,30,34,-0.58,0.36,0.0,60.0,1.6,1.14
Sequence_46,0.9,0.8,5.0,12.42,30,26,-0.49,0.22,0.0,100.0,1.16,1.05
Sequence_47,0.21,0.2,5.0,11.35,24,24,-0.49,0.3,0.0,80.0,1.77,1.1
Sequence_48,0.49,0.14,5.0,12.42,23,13,-0.21,0.24,0.0,70.0,1.08,1.02
Sequence_49,0.81,0.72,5.0,12.42,30,95,-0.57,0.34,0.0,90.0,1.24,1.05
Sequence_50,0.72,0.35,5.0,11.88,23,24,-0.39,0.26,0.0,30.0,1.33,1.01
